time_s,gait_phase,knee_L_meas,knee_R_meas,hip_L_meas,hip_R_meas,knee_L_ref,knee_R_ref,hip_L_ref,hip_R_ref,F_imp_L,F_imp_R,F_ilc_L,F_ilc_R,F_total_L,F_total_R,teensy_phase,teensy_fL,teensy_fR,hs_L,hs_R,shm_valid
8124.3123,0.0000,173.40,176.58,97.17,83.07,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8124.3223,0.0000,174.53,176.84,97.91,82.58,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8124.3323,0.0000,175.55,176.58,96.98,83.08,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8124.3423,0.0000,175.55,176.58,96.98,83.08,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8124.3523,0.0000,175.55,176.58,96.98,83.08,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8124.3623,0.0000,175.55,176.58,96.98,83.08,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8124.3723,0.0000,175.55,176.58,96.98,83.08,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8124.3823,0.0000,175.87,176.55,97.83,82.23,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8124.3923,0.0000,175.87,176.55,97.83,82.23,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8124.4023,0.0000,175.81,176.12,97.38,83.04,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
